creator,url,distributors,uploads,median_outlier,max_outlier
stephandmicah,https://www.youtube.com/@stephandmicah,3,4,0.2,0.25
Marshallclassic,https://www.youtube.com/@Marshallclassic,3,5,0.07,0.2
DoyoNosssFishing,https://www.youtube.com/@DoyoNosssFishing,2,2,1047.42,2094.77
Needs.Detail,https://www.youtube.com/@Needs.Detail,2,3,0.78,1524.95
AtlasSurvivalShelters,https://www.youtube.com/@AtlasSurvivalShelters,2,2,214.57,427.19
trucks_channel_razborgruz,https://www.youtube.com/@trucks_channel_razborgruz,2,3,1.64,224.04
JerryRigEverything,https://www.youtube.com/@JerryRigEverything,2,2,111.8,221.06
ProcessK,https://www.youtube.com/@ProcessK,2,2,103.6,201.8
Woodsimprovisation,https://www.youtube.com/@Woodsimprovisation,2,2,91.83,181.3
MLG_mylittlegarage,https://www.youtube.com/@MLG_mylittlegarage,2,2,81.9,163.02
Hampus_Granstrom,https://www.youtube.com/@Hampus_Granstrom,2,3,19.68,162.5
DawidOutdoorAdventures,https://www.youtube.com/@DawidOutdoorAdventures,2,2,51.39,69.78
trieuthihoa,https://www.youtube.com/@trieuthihoa,2,3,5.77,30.88
Holy_Maker,https://www.youtube.com/@Holy_Maker,2,2,14.45,28.57
petualangsumatera-ul5ml,https://www.youtube.com/@petualangsumatera-ul5ml,2,3,0.55,20.7
RV-19,https://www.youtube.com/@RV-19,2,2,10.62,19.61
MorizinForest,https://www.youtube.com/@MorizinForest,2,2,8.59,16.46
Theonewhobuilds-kz7tr,https://www.youtube.com/@Theonewhobuilds-kz7tr,2,2,6.77,12.87
SurvivalFarNorth,https://www.youtube.com/@SurvivalFarNorth,2,2,5.33,9.9
Mar.lavender,https://www.youtube.com/@Mar.lavender,2,3,9.61,9.61
skoolievanblog,https://www.youtube.com/@skoolievanblog,2,2,4.88,8.75
KopauKakXo4u,https://www.youtube.com/@KopauKakXo4u,2,2,4.03,7.67
chateaudutheil,https://www.youtube.com/@chateaudutheil,2,3,7.56,7.56
Restavraciya,https://www.youtube.com/@Restavraciya,2,2,3.96,7.53
loginnature8516,https://www.youtube.com/@loginnature8516,2,2,5.9,7.25
DungBushcraft-dq4cu,https://www.youtube.com/@DungBushcraft-dq4cu,2,3,0.8,5.8
wildhomestead,https://www.youtube.com/@wildhomestead,2,3,5.5,5.5
Gabriel.Leni100,https://www.youtube.com/@Gabriel.Leni100,2,3,5.39,5.39
SimpleLifeBushcraft,https://www.youtube.com/@SimpleLifeBushcraft,2,2,2.9,5.3
ShevaBushcraft,https://www.youtube.com/@ShevaBushcraft,2,2,3.32,5.14
bastianbuilders,https://www.youtube.com/@bastianbuilders,2,3,4.86,4.86
OffGridLife,https://www.youtube.com/@OffGridLife,2,1,4.75,4.75
The,https://www.youtube.com/@The,2,2,2.72,4.69
Ivan-Rogal,https://www.youtube.com/@Ivan-Rogal,2,2,2.63,4.27
ivan_bushcraft,https://www.youtube.com/@ivan_bushcraft,2,3,1.91,4.18
XuanFreeLife5688,https://www.youtube.com/@XuanFreeLife5688,2,3,2.5,3.79
johnwolson,https://www.youtube.com/@johnwolson,2,2,1.99,3.7
LýPhúcVy,https://www.youtube.com/@LýPhúcVy,2,2,2.04,3.63
RCPlayGround,https://www.youtube.com/@RCPlayGround,2,2,2.6,3.44
christiangreen612,https://www.youtube.com/@christiangreen612,2,2,1.85,3.19
SteepintheWoods,https://www.youtube.com/@SteepintheWoods,2,2,2.11,3.06
MattBangsWood,https://www.youtube.com/@MattBangsWood,2,2,1.56,2.77
YiZhizhu,https://www.youtube.com/@YiZhizhu,2,2,1.6,2.72
lythibinh,https://www.youtube.com/@lythibinh,2,2,1.75,2.5
divanstroy,https://www.youtube.com/@divanstroy,2,2,1.45,2.36
alangomezcraft,https://www.youtube.com/@alangomezcraft,2,2,1.54,2.35
VeganAthlete,https://www.youtube.com/@VeganAthlete,2,3,1.3,2.17
FinnishPlayground,https://www.youtube.com/@FinnishPlayground,2,2,2.06,2.09
ThisOffGridLife,https://www.youtube.com/@ThisOffGridLife,2,3,2.03,2.03
EveryotherKarl,https://www.youtube.com/@EveryotherKarl,2,2,1.35,1.83
Lesnoy_Craft,https://www.youtube.com/@Lesnoy_Craft,2,2,1.54,1.76
OlegDim,https://www.youtube.com/@OlegDim,2,2,1.03,1.69
rampewild,https://www.youtube.com/@rampewild,2,2,1.4,1.67
belaruscustoms,https://www.youtube.com/@belaruscustoms,2,5,0.18,1.4
mattandmouse,https://www.youtube.com/@mattandmouse,2,2,0.96,1.35
bradyoung2174,https://www.youtube.com/@bradyoung2174,2,3,1.32,1.32
French_builder,https://www.youtube.com/@French_builder,2,3,1.3,1.3
Library,https://www.youtube.com/@Library,2,3,1.26,1.26
Bushcraft__Karina,https://www.youtube.com/@Bushcraft__Karina,2,2,0.91,1.2
