creator,url,odds_top,best_strength,confirmations,distributors,best_outlier,best_reach,best_channel,best_channel_subs,best_title,evidence,peak_outlier_any,peak_reach_any,last_seen
wildhomestead,https://www.youtube.com/@wildhomestead,0.8623,0.771,1,2,3.8,339345,Maker World,19200,Man Builds Unique Wooden Cabin in the Deep Forest | From Start to Finish by @wildhomestead,firme,4.8,339345,2026-04-29
OLDSMITH,https://www.youtube.com/@OLDSMITH,0.8601,0.86,0,2,18.6,388152,MrDuck104,406000,Turning Rusty Hook Into Poseidon’s Legendary Trident...(@OLDSMITH),débil,18.6,388152,2024-09-21
ShortRestorations,https://www.youtube.com/@ShortRestorations,0.8596,0.86,0,2,29.9,387579,MrDuck112,31200,Restoring Old Rusty Toy Ferrari...(@ShortRestorations),débil,29.9,387579,2024-10-19
ThanhSuperBoat,https://www.youtube.com/@ThanhSuperBoat,0.8582,0.764,1,11,23.4,113903,22TechZoom,97400,Man Builds INSANE SU-35 Jet Boat Completely From Scratch | Start to Finish by @ThanhSuperBoat,firme,23.4,3258427,2026-07-05
homesteadingdays,https://www.youtube.com/@homesteadingdays,0.8579,0.763,1,7,3.6,843322,BRAIN TIME VT,33700,Couple Transforms Abandoned Warehouse into a Dream Home | Full Build @homesteadingdays,firme,95.6,843322,2026-07-28
serkanbilgin27,https://www.youtube.com/@serkanbilgin27,0.8568,0.857,0,12,36.4,368534,Quantum Build Studio,18400,Man Builds Incredible Wooden Resort with Rooftop | From Start to Finish by ‪@serkanbilgin27 ‬,media,36.4,368534,2026-07-30
Mar.lavender,https://www.youtube.com/@Mar.lavender,0.8563,0.856,0,2,12.2,367848,Lord Gizmo,505000,Couple Transforms 23yr Old Van Into INCREDIBLE Modern Camper | Start to Finish by @Mar.lavender,débil,12.2,1518657,2026-05-14
AntonioOff-Grid,https://www.youtube.com/@AntonioOff-Grid,0.852,0.753,1,6,3.4,2134623,TK Maker,25100,Alone in a Transparent Tent Amidst Thick Snow ❄️⛺🔥 | By @AntonioOff-Grid,firme,3.4,2134623,2026-08-06
knivesproject3349,https://www.youtube.com/@knivesproject3349,0.8517,0.753,1,2,4.9,101308,MrDuck104,406000,Forging Worlds Sharpest Blade From 350 Razor Blades...(@knivesproject3349),firme,4.9,101308,2024-10-05
wildcampp,https://www.youtube.com/@wildcampp,0.8514,0.752,1,2,4.3,101195,Vertigar Bushcraft,5170,-37°C  - Two Days of Life and Death in an Abandoned House| By @wildcampp,firme,4.3,530589,2026-05-28
trieuthisenh-o6k,https://www.youtube.com/@trieuthisenh-o6k,0.8508,0.851,0,1,34.7,350714,Quantum Build Studio,18400,Young Woman Builds Dream Wooden House Beside the Stream | Start to Finish by @trieuthisenh-o6k ‬,débil,34.7,350714,2025-10-30
juanxiaoliu,https://www.youtube.com/@juanxiaoliu,0.8507,0.751,1,9,9.8,99197,Quantum Build Studio,18400,A Woman Dream Projec 2 Years to Build a Fairytale Home | Home Transformation by @juanxiaoliu,firme,17.8,99197,2026-08-03
Bochi-Hut,https://www.youtube.com/@Bochi-Hut,0.8489,0.748,1,8,3.3,2676427,AKLA GELEN,1090000,Old Man Builds Dream Home in 5 Years | Start to Finish by@Bochi-Hut,firme,3.3,2676427,2026-08-04
OneFootOfftheGrid,https://www.youtube.com/@OneFootOfftheGrid,0.8481,0.747,1,3,3.2,591631,Build Maker,46200,Couple Builds OFF-GRID Luxury Wooden Cabin Deep in the Forest |Start to Finish@OneFootOfftheGrid ​,firme,3.2,591631,2026-07-12
bushcraftua1,https://www.youtube.com/@bushcraftua1,0.8411,0.735,1,19,3.1,2507149,AKLA GELEN,1090000,Man Builds Dream UNDERGROUND Log CABIN in His Backyard | Start to Finish by @bushcraftua1,firme,28.2,2507149,2026-07-17
RoughStyle,https://www.youtube.com/@RoughStyle,0.8402,0.84,0,8,7.6,669567,Maker World,19200,Man Builds Traditional Japanese House Alone | Start to Finish by @RoughStyle,media,7.6,669567,2026-07-28
DemasiLogCabin,https://www.youtube.com/@DemasiLogCabin,0.84,0.733,1,6,3.0,264041,Maker World,19200,Man Builds Beautiful Handcrafted Log Cabin in the Forest | Start to Finish by @DemasiLogCabin,firme,3.0,264041,2026-08-11
BrothersofWhitewood,https://www.youtube.com/@BrothersofWhitewood,0.8394,0.839,0,1,7.4,4694946,TK Maker,25100,Secret Shelter to Stay Warm Through Winter — Jungle Survival Skills 🥶🌲🔥  By @BrothersofWhitewood,débil,7.4,4694946,2026-07-10
ArtSportArtSport,https://www.youtube.com/@ArtSportArtSport,0.836,0.727,1,9,6.7,68075,Quantum Build Studio,18400,Building Secret Tree House in the Middle of the Forest | Start to Finish by @ArtSportArtSport,firme,44.9,68075,2026-07-17
Woodland_Craft_by_Alex,https://www.youtube.com/@Woodland_Craft_by_Alex,0.8354,0.726,1,2,3.9,65890,an tinh,6810,Restoring the Door of an Abandoned House in the Snowy Forest | By @Woodland_Craft_by_Alex,firme,3.9,65890,2026-05-11
bushcraftoutdooradventures3135,https://www.youtube.com/@bushcraftoutdooradventures3135,0.8345,0.835,0,1,6.8,1652706,Betelhem Tech,28000,Upgrading a Wooden House Installing Doors and a Heating System By @bushcraftoutdooradventures3135,débil,6.8,1652706,2026-06-03
ChâteauduVot,https://www.youtube.com/@ChâteauduVot,0.834,0.834,0,1,43.6,290543,Smart Fox,85100,Couple Renovates an Ancient Abandoned French Castle | Full Timelapse by @ChâteauduVot,débil,43.6,290543,2026-07-30
HikeCampClimb,https://www.youtube.com/@HikeCampClimb,0.8324,0.721,1,3,2.8,65454,Vertigar Bushcraft,5170,"The Hot Tent, A Survival Battle Amidst the Devastating Storm | bY @HikeCampClimb",firme,2.8,550629,2026-07-19
ChopShopCrew,https://www.youtube.com/@ChopShopCrew,0.8323,0.832,0,3,39.4,284707,KLIFS TECH,71100,He Builts a Cyber Truck Camper From a Trailer With a Few $600s. By@ChopShopCrew,media,39.4,284707,2026-01-17
MrRescue,https://www.youtube.com/@MrRescue,0.8321,0.72,1,2,3.0,62182,MrDuck104,406000,Restoring Abandoned Go Kart...(@MrRescue),firme,3.0,62182,2024-09-23
AnifG,https://www.youtube.com/@AnifG,0.8298,0.716,1,2,2.9,60417,MrDuck104,406000,Guy Makes Engagement Ring For Girlfriend...(@AnifG),firme,3.4,60417,2024-10-13
dialtommy,https://www.youtube.com/@dialtommy,0.8296,0.83,0,4,9.2,276811,Lord Gizmo,505000,Family Builds DREAM Cabin in the Woods - Start To Finish by @dialtommy,media,9.2,369102,2026-07-05
AustinCoulson,https://www.youtube.com/@AustinCoulson,0.8291,0.829,0,1,6.5,432224,Gear Tech HD,471000,MAN TRANSFORMS an Old Box Truck Into a LUXURY MOBILE PIZZERIA | start to finish by @AustinCoulson,débil,6.5,432224,2026-07-25
Holy_Maker,https://www.youtube.com/@Holy_Maker,0.8291,0.829,0,2,24.4,276417,Wood & Steel Craft,850,Build a giant two-story house that assembles as quickly as Lego | by @Holy_Maker,débil,24.4,276417,2026-08-07
meditterrain.outdoors,https://www.youtube.com/@meditterrain.outdoors,0.8269,0.827,0,1,6.3,1535981,Betelhem Tech,28000,Part 1 - Building a Two-Story Shelter on a Fallen Tree Trunk 🌲🏕️ | By @meditterrain.outdoors,débil,6.3,1535981,2026-06-04
ErikGrankvist,https://www.youtube.com/@ErikGrankvist,0.8256,0.709,1,7,2.7,634350,Epic Timeline,35300,Part 3 - 7 Years of Building My Dream Wooden House Alone | By  @ErikGrankvist  ​,firme,2.7,634350,2026-07-24
MrBuildit,https://www.youtube.com/@MrBuildit,0.8225,0.823,0,4,19.8,258871,TTI Build Stories ,1800000,Empty Lot to $500K LUXURY A-Frame HOUSE in 9 Months! (Start to Finish - By @MrBuildit ),media,19.8,258871,2026-05-25
channel520,https://www.youtube.com/@channel520,0.8212,0.821,0,3,6.0,633624,Innovative Tech World,37300,Young Man Carves a $1 Million Modern Home into a Massive Rock | Built in 6 Months By @channel520,media,11.5,633624,2026-08-08
zelworks,https://www.youtube.com/@zelworks,0.8198,0.82,0,1,5.9,299947,Life Rhythm TV,4350,The man restored an abandoned 4x4 to look like new | From start to finish @zelworks,débil,5.9,299947,2026-07-04
TheOutsiderCabin,https://www.youtube.com/@TheOutsiderCabin,0.8195,0.699,1,9,2.5,601864,Betelhem Tech,28000,Horse Carriage Chandelier — Outsider Style Cabin | By @TheOutsiderCabin,firme,3.5,601864,2026-08-04
annieandthevicarage,https://www.youtube.com/@annieandthevicarage,0.8187,0.819,0,1,35.9,239626,Smart Fox,85100,A Woman Renovates a Farmhouse in the Countryside | From Start to Finish by @annieandthevicarage,débil,35.9,239626,2026-07-21
fazenda13aa,https://www.youtube.com/@fazenda13aa,0.8176,0.818,0,1,35.5,236963,Smart Fox,85100,A Man Builds a Frame House | From Start to Finish by @fazenda13aa,débil,35.5,236963,2025-10-08
OlikaBushcraft,https://www.youtube.com/@OlikaBushcraft,0.8163,0.694,1,3,2.4,1547231,TK Maker,25100,Building the Ultimate Secret Bunker | Wilderness Survival 🌲🔥🕳️ | By @OlikaBushcraft,firme,2.4,1547231,2026-07-28
cabinlife4551,https://www.youtube.com/@cabinlife4551,0.8153,0.692,1,4,2.4,212751,Maker World,19200,Man Builds Beautiful Off Grid Cabin Alone in the Wilderness | Start to Finish@cabinlife4551​,firme,2.4,212751,2026-07-18
MLG_mylittlegarage,https://www.youtube.com/@MLG_mylittlegarage,0.8112,0.685,1,2,122.6,42125,Lynsey Windon,2200,"A private garage project equipped with a car lift, completed in six months. by@MLG_mylittlegarage",firme,122.6,110239,2026-08-01
DashingAxe,https://www.youtube.com/@DashingAxe,0.8111,0.811,0,5,171.0,218363,Rebuilding HD,2420,Man Builds Secret Bunker UnderOld Cabin |Full Transformation by@DashingAxe,media,171.0,299728,2026-07-13
bastianbuilders,https://www.youtube.com/@bastianbuilders,0.81,0.81,0,2,5.3,315536,MAKERS HD,3260,Man Builds a Multi-Million Dollar Dream Home | Start to Finish@bastianbuilders,débil,5.3,315536,2026-07-27
old_school_moaboa,https://www.youtube.com/@old_school_moaboa,0.81,0.81,0,1,31.9,212883,Smart Fox,85100,100 Year Old House Renovation - Timelapse by @old_school_moaboa,débil,31.9,212883,2026-01-21
LostinMountainsCarpathians,https://www.youtube.com/@LostinMountainsCarpathians,0.8095,0.809,0,2,5.3,1263038,Epic Timeline,35300,I Created a Home from Hazelnut Branches and a Small Fire 🌿🔥 | By @LostinMountainsCarpathians,débil,5.3,1263038,2026-07-31
karakum_outdoors,https://www.youtube.com/@karakum_outdoors,0.8051,0.805,0,3,5.1,3235140,TK Maker,25100,Creating a Completely Hidden Shelter in the Forest | By @karakum_outdoors,media,5.1,3235140,2026-07-11
AlexanderBushcraft776,https://www.youtube.com/@AlexanderBushcraft776,0.8024,0.802,0,2,5.0,1198475,Epic Timeline,35300,Upgrading Your Forest Shelter | Staying Warm & Defending at Night | By @AlexanderBushcraft776,débil,5.0,1198475,2026-08-04
AloshaLynov,https://www.youtube.com/@AloshaLynov,0.8021,0.67,1,11,2.1,2122866,Makerium,320000,"Man Builds Underground Hobbit Home for $2,000 | by @AloshaLynov",firme,3.9,2122866,2026-07-24
loginnature8516,https://www.youtube.com/@loginnature8516,0.8008,0.801,0,2,5.0,482893,MrS,19100,A 36-Month Journey Building a Fully Equipped Wooden Home for a Big Family: @loginnature8516,débil,6.6,482893,2026-07-30
fz-makingknives3663,https://www.youtube.com/@fz-makingknives3663,0.7988,0.665,1,2,2.6,33597,MrDuck112,31200,Making Knife From Rusty Old Drill Bits...(@fz-makingknives3663),firme,2.6,33742,2024-10-06
garage9845,https://www.youtube.com/@garage9845,0.798,0.798,0,1,14.1,184100,TTI Build Stories ,1800000,He Saved the Worst Truck on Earth… And Made It Better Than New by  @garage9845,débil,14.1,184100,2026-07-26
TriệuThịDuyên-b8b,https://www.youtube.com/@TriệuThịDuyên-b8b,0.797,0.797,0,1,4.9,518934,Innovative Tech World,37300,Talented woman: Builds a floating house on a deserted island in 180 days by @TriệuThịDuyên-b8b,débil,4.9,518934,2026-02-25
TheOffGridExperience,https://www.youtube.com/@TheOffGridExperience,0.7959,0.796,0,5,4.9,473252,MrS,19100,24 months building an off-grid cabin in the beautiful hills of Tennessee: @TheOffGridExperience,media,4.9,473252,2026-08-02
Korytan,https://www.youtube.com/@Korytan,0.7959,0.796,0,8,103.5,179496,COLLAB,12400,Man Spends 3 Months Renovating Old House Back to New | by @Korytan,media,103.5,179496,2026-07-07
kevcatbuildit9478,https://www.youtube.com/@kevcatbuildit9478,0.7942,0.657,1,3,2.1,114766,CabinCraft,6330,How I Built a Modern Garage from the Ground Up | Start to Finish @kevcatbuildit9478  ,firme,2.6,508381,2026-07-14
thetielife,https://www.youtube.com/@thetielife,0.7937,0.794,0,1,25.8,172108,Smart Fox,85100,A Couple Builds a Rammed Earth Greenhouse From Start to Finish | Timelaps by @thetielife,débil,25.8,172108,2025-12-01
Gabriel.Leni100,https://www.youtube.com/@Gabriel.Leni100,0.791,0.791,0,2,4.6,3768088,AKLA GELEN,1090000,"Family Renovates 100-Year-Old House, Turns It Into a Dream Home | Start to Finish @Gabriel.Leni100",débil,4.6,3768088,2026-01-11
MarkoRoolaid,https://www.youtube.com/@MarkoRoolaid,0.7904,0.79,0,1,5.5,166338,Lord Gizmo,505000,4 Months - One Man - An Ultra-Realistic RC Airplane Built From Scratch! @MarkoRoolaid,débil,5.5,166338,2026-06-25
BushcraftLeo,https://www.youtube.com/@BushcraftLeo,0.7899,0.79,0,3,4.5,3702673,AKLA GELEN,1090000,Man Builds a Raft Out of Trash on Deserted Island (Solo!) | Start to Finish by @BushcraftLeo,media,4.5,3702673,2026-05-17
ivan_bushcraft,https://www.youtube.com/@ivan_bushcraft,0.788,0.788,0,4,4.4,1065125,Betelhem Tech,28000,Building a Cozy Shelter with Plastic Sheets and a Wood-Burning Stove 🔥🌲 | By @ivan_bushcraft,media,4.4,1065125,2026-08-06
mlgkontejneri3283,https://www.youtube.com/@mlgkontejneri3283,0.7861,0.786,0,5,50.5,157354,Quantum Builders,8730,Man Builds a MODERN TWO-STORY House from Shipping Containers | Full Build by @mlgkontejneri3283,media,50.5,157354,2026-08-09
emmanuel_sepulchre,https://www.youtube.com/@emmanuel_sepulchre,0.7823,0.782,0,1,4.2,401244,Off-Grid Paradise,3300,2 Friends Built an Off-Grid Timber Frame Cabin in the Forest (From Scratch) by@emmanuel_sepulchre,débil,4.2,401244,2026-05-05
Fabricatusueno,https://www.youtube.com/@Fabricatusueno,0.779,0.779,0,8,4.1,508730,Machine stage,2780000,This man is transforming an old shipping container into a stunning luxury home! @Fabricatusueno,media,4.1,508730,2026-08-02
adventurevibee,https://www.youtube.com/@adventurevibee,0.779,0.779,0,2,18.8,141369,Cabin In the Woods,5280,A Man Built a Safe and Comfortable Hideout inside a Large and Strange Rock | By@adventurevibee,débil,18.8,141369,2026-05-16
nialldivers,https://www.youtube.com/@nialldivers,0.7779,0.778,0,1,4.1,920644,World Build,36500,He Turned Old Car Tires into a House That Can Withstand Extreme Weather for Centuries @nialldivers,débil,4.1,920644,2026-07-05
LankHome,https://www.youtube.com/@LankHome,0.7746,0.775,0,9,18.4,133251,KLIFS TECH,71100,He Builds a Dream A-Frame Cabin in the Forest. By@LankHome,media,18.4,1467818,2026-07-26
SashaJuliardD,https://www.youtube.com/@SashaJuliardD,0.7708,0.771,0,1,9.4,122658,TTI Build Stories ,1800000,Man Built a LUXURY Cabin in The Jungle! Start to Finish By @SashaJuliardD,débil,9.4,122658,2026-08-02
serkanbilginbushcraft,https://www.youtube.com/@serkanbilginbushcraft,0.7695,0.769,0,1,3.8,2429667,TK Maker,25100,Rebuilding an Abandoned Wooden House in the Forest With a Loyal Dog 🐕🌲🔥 By @serkanbilginbushcraft,débil,3.8,2429667,2026-07-06
TheCrockers,https://www.youtube.com/@TheCrockers,0.7686,0.769,0,1,3.8,209215,CabinCraft,6330,Watch a Couple Build Their Dream House from Start to Finish @TheCrockers @QuantumMakers ,débil,3.8,209215,2026-08-04
MartijnDoolaard,https://www.youtube.com/@MartijnDoolaard,0.7681,0.768,0,1,3.8,883527,BRAIN TIME VT,33700,Man Spends 365 Days Restoring Two Stone Houses in the Italian Alps | performed by@MartijnDoolaard,débil,3.8,883527,2026-06-13
DIY_OTAKU_take,https://www.youtube.com/@DIY_OTAKU_take,0.7681,0.768,0,1,9.0,116880,TTI Build Stories ,1800000,"Man Buys $7,500 ABANDONED House - Then He Transformed It Completely! (By @DIY_OTAKU_take‬)",débil,9.0,116880,2026-05-13
RCHBuilders,https://www.youtube.com/@RCHBuilders,0.7676,0.768,0,1,17.4,115688,Smart Fox,85100,Old House Renovation into a Cozy Home: Start to Finish | Timelapse by @RCHBuilders,débil,17.4,115688,2025-09-24
PacificNorthwestHillbilly,https://www.youtube.com/@PacificNorthwestHillbilly,0.7648,0.765,0,1,3.6,185916,Life Rhythm TV,4350,60-Year-Old Man Restores an Abandoned Bulldozer | Start to Finish @PacificNorthwestHillbilly,débil,3.6,185916,2026-07-27
DoyoNosssFishing,https://www.youtube.com/@DoyoNosssFishing,0.7648,0.765,0,2,245.2,114386,Maexology,1970,Man Transforms Plastic Drums into Boat | From Start To Finish by @DoyoNosssFishing,débil,245.2,114386,2026-06-19
OffGridLife,https://www.youtube.com/@OffGridLife,0.7643,0.764,0,2,3.6,851326,Makers TV,6110,Couple spends 3 months building a brick and clay pizza oven by hand | performed by@OffGridLife,débil,3.6,851326,2026-08-10
desentoca2309,https://www.youtube.com/@desentoca2309,0.7627,0.763,0,5,8.4,113364,99Techspot,100000,Family Converts an Abandoned Bus Into a Home | Start to Finish ‪@desentoca2309‬,media,8.4,1309324,2026-07-25
Restoratorman,https://www.youtube.com/@Restoratorman,0.7621,0.762,0,1,3.5,3680489,TechFreeze,3220000,Man Fully Restores Abandoned Kawasaki Motorcycle back to New | Start to Finish by @Restoratorman,débil,3.5,3680489,2025-11-04
LibraryofConstruction,https://www.youtube.com/@LibraryofConstruction,0.7578,0.758,0,4,3.4,3366100,Makerium,320000,"Man Spends $30,000 to Build an Underground Bunker | Start to Finish by @LibraryofConstruction",media,3.4,3366100,2026-06-07
forestpaths,https://www.youtube.com/@forestpaths,0.7501,0.75,0,4,5.6,95964,an tinh,6810,Part 2 - Reviving an Abandoned Bunker and Life by the Fireplace | By @forestpaths,media,5.6,95964,2026-08-04
MorizinForest,https://www.youtube.com/@MorizinForest,0.7496,0.75,0,2,30.6,95321,Quantum Builders,8730,Man Builds a Modern Japanese-Style Frame House From Scratch | by @MorizinForest,débil,30.6,95321,2026-03-07
chateaudepurnon,https://www.youtube.com/@chateaudepurnon,0.7493,0.749,0,1,3.3,774645,BRAIN TIME VT,33700,Couple spends $1 million to buy Purnon Castle and turn it into a dream castle | @chateaudepurnon,débil,3.3,774645,2026-06-03
SilentCampingLife-x7r2z,https://www.youtube.com/@SilentCampingLife-x7r2z,0.748,0.748,0,1,4.0,92796,Vertigar Bushcraft,5170,How He Created a Shelter in the Freezing Cold | By @SilentCampingLife-x7r2z,débil,4.0,92796,2026-04-16
Urchfab,https://www.youtube.com/@Urchfab,0.7436,0.744,0,1,6.8,88105,TTI Build Stories ,1800000,Man Turned Trash into a TREASURE Car ! ( By @Urchfab ),débil,6.8,88105,2026-04-26
MrWildNature,https://www.youtube.com/@MrWildNature,0.7431,0.743,0,1,3.2,3295466,TechFreeze,3220000,Man Builds Dream Mountain House on Impossible Terrain | Start to Finish by @MrWildNature,débil,3.2,3295466,2025-09-21
radicalgastronomy,https://www.youtube.com/@radicalgastronomy,0.7414,0.741,0,1,12.9,86122,Smart Fox,85100,A Man Builds a Mini House | Timalapse from Start to Finish by @radicalgastronomy,débil,12.9,86122,2026-01-27
WildlifeHomesteadCabin,https://www.youtube.com/@WildlifeHomesteadCabin,0.7412,0.741,0,1,3.2,308001,MrS,19100,Building a cabin & furniture entirely out of wood by hand in the wilderness: @WildlifeHomesteadCabin,débil,3.2,308001,2026-04-12
Needs.Detail,https://www.youtube.com/@Needs.Detail,0.7392,0.739,0,2,177.6,82858,Maexology,1970,Man Fully Revived Abandoned Mercedes E500 S211 Wagon | From Start To Finish by @Needs.Detail,débil,177.6,82858,2025-03-26
Alone_with_nature_vova,https://www.youtube.com/@Alone_with_nature_vova,0.7338,0.734,0,5,6.0,77812,TTI Build Stories ,1800000,Man BUILDS a Stunning Mountain LOG House ALONE From Scratch! ( By @Alone_with_nature_vova  ),media,13.0,77812,2026-05-21
DesignsbyDonnie,https://www.youtube.com/@DesignsbyDonnie,0.7314,0.731,0,3,3.0,696487,Makers TV,6110,"Man Transforms His Backyard by Hand and Saves Over $100,000 | Start to Finish @DesignsbyDonnie",media,16.0,696487,2026-07-31
perfectidea,https://www.youtube.com/@perfectidea,0.7284,0.728,0,4,15.1,68898,Built Marvels,2290,Building the CHEAPEST House From Scratch in Just 10 Days | by @perfectidea,media,15.1,68898,2026-08-11
SurvivalFarNorth,https://www.youtube.com/@SurvivalFarNorth,0.7278,0.728,0,2,10.3,68561,Smart Fox,85100,Man Builds a Log Cabin in the Woods | From Start to Finish | Timelaps by @SurvivalFarNorth,débil,10.3,68561,2026-06-24
ShredPile,https://www.youtube.com/@ShredPile,0.727,0.727,0,1,2.9,532369,Build Maker,46200,Man Builds Incredible Luxury Wooden House in the Mountains | Start to Finish by @ShredPile,débil,2.9,532369,2026-06-08
MattBangsWood,https://www.youtube.com/@MattBangsWood,0.7246,0.725,0,2,2.9,159627,CabinCraft,6330,Complete House Build From Start to Finish | Framing & Roofing @MattBangsWood  @QuantumMakers ,débil,2.9,159627,2026-07-11
Wood_Wolf,https://www.youtube.com/@Wood_Wolf,0.724,0.724,0,4,2.9,686122,Epic Timeline,35300,9 Months Living Amidst Snow-Covered Mountains to Build My Dream Little House ❄️🔥  By @Wood_Wolf,media,2.9,686122,2026-08-02
French_builder,https://www.youtube.com/@French_builder,0.7202,0.72,0,2,2.8,656851,BRAIN TIME VT,33700,Man Spends 4 Years Restoring an Abandoned House in France | from beginning to end@French_builder,débil,2.8,656851,2026-08-08
RAWConstructionASMR,https://www.youtube.com/@RAWConstructionASMR,0.7191,0.719,0,1,2.8,270148,MrS,19100,"The Foundation and Framing Process of a 5,500 sq ft Home in Austin, Texas: @RAWConstructionASMR",débil,2.8,270148,2026-05-10
DIYHUB88,https://www.youtube.com/@DIYHUB88,0.718,0.718,0,2,2.8,64250,Vertigar Bushcraft,5170,Trapped in a fierce snow storm in a stone house | By @DIYHUB88,débil,2.8,64250,2026-05-05
skoolievanblog,https://www.youtube.com/@skoolievanblog,0.7175,0.717,0,2,8.4,60578,KLIFS TECH,71100,Couple Turns Old School Bus into Dream Home With a Few $2000s. By @skoolievanblog​,débil,8.4,693321,2026-01-17
mediterrain.outdoors,https://www.youtube.com/@mediterrain.outdoors,0.7153,0.715,0,1,2.7,655550,Betelhem Tech,28000,Building a Cabin with Stone and Wood — Survival in the Forest | By @mediterrain.outdoors,débil,2.7,655550,2026-06-04
LandtoHouse,https://www.youtube.com/@LandtoHouse,0.7066,0.707,0,1,7.8,52031,Smart Fox,85100,A Man Builds a Modular Home | Start to Finish | Timelapse by @LandtoHouse,débil,7.8,52031,2025-10-27
SteepintheWoods,https://www.youtube.com/@SteepintheWoods,0.7052,0.705,0,2,2.6,2570630,Makerium,320000,Man Builds a 2-Story House From FREE Pallets in the Mountains | Start to Finish by @SteepintheWoods,débil,2.6,2570630,2026-04-17
AdventuresHappen,https://www.youtube.com/@AdventuresHappen,0.7039,0.704,0,1,3.8,50122,TTI Build Stories ,1800000,Man Turned a Trash Van into a 5-Star Hotel in 11 Months! ( By ‪@AdventuresHappen ‬),débil,3.8,50122,2026-04-19
TieuLieu-17yearold,https://www.youtube.com/@TieuLieu-17yearold,0.7003,0.7,0,1,2.5,267361,Innovative Tech World,37300,Young woman transforms old house into A NEW HOME in just 60 days by @TieuLieu-17yearold,débil,2.5,267361,2026-03-13
Bushradical,https://www.youtube.com/@Bushradical,0.6971,0.697,0,2,2.5,57288,Vertigar Bushcraft,5170,Part 1- How much is the cost of using the log cabin | By @Bushradical,débil,9.0,57288,2026-04-17
BuildStudioHQ,https://www.youtube.com/@BuildStudioHQ,0.6968,0.697,0,1,15.3,47616,Quantum Builders,8730,Couple Builds SHIPPING CONTAINER HOME With No Experience | by @BuildStudioHQ,débil,15.3,47616,2026-02-28
papatechnologies,https://www.youtube.com/@papatechnologies,0.6952,0.695,0,3,4.1,45996,Wood & Steel Craft,850,Two Men Build a Complete Timber Home From Scratch | by @papatechnologies,media,178.6,45996,2026-07-05
Mrhuubushcraft,https://www.youtube.com/@Mrhuubushcraft,0.6941,0.694,0,4,4.4,44879,Quantum Build Studio,18400,Man Builds Off-Grid Cabin from Scratch Using Only Hand Tools | Start to Finish by @Mrhuubushcraft,media,5.7,44879,2026-06-18
Kings_Wharf_Restoration,https://www.youtube.com/@Kings_Wharf_Restoration,0.6889,0.689,0,1,2.4,119710,Life Rhythm TV,4350,Man Restores a 48-Year-Old Boat | Start to Finish @Kings_Wharf_Restoration,débil,2.4,119710,2026-06-15
ThisOffGridLife,https://www.youtube.com/@ThisOffGridLife,0.687,0.687,0,2,2.3,206181,Maker World,19200,Man Builds Cozy Off-Grid Cabin with Simple Tools | Start to Finish by @ThisOffGridLife,débil,2.3,206181,2026-07-29
HandyGeng,https://www.youtube.com/@HandyGeng,0.6859,0.686,0,1,21.1,42304,Clean & Restore Tech,3380,I Built a Homemade Amphibious RV That Floats + A Zero-Gravity Centrifugal Car | By @HandyGeng,débil,21.1,42304,2026-02-22
mikesdreambuilds,https://www.youtube.com/@mikesdreambuilds,0.6848,0.685,0,4,2.3,2396138,TechFreeze,3220000,Couple Buys Burned $1.5M Mansion and Rebuilds it to Luxury Home | Start to Finish by @mikesdreambuilds,media,8.0,2396138,2026-07-30
lamaisondagonay4820,https://www.youtube.com/@lamaisondagonay4820,0.6843,0.684,0,1,3.1,40245,TTI Build Stories ,1800000,"Father & Son Built a HOUSE for Under $70,000… in Just 4 Months! ( By  @lamaisondagonay4820‬ )",débil,3.1,40245,2026-03-05
Trieuthiduong,https://www.youtube.com/@Trieuthiduong,0.6799,0.68,0,1,2.3,240645,Innovative Tech World,37300,Talented woman: Building a self-sufficient floating house on a deserted island by @Trieuthiduong,débil,2.3,240645,2026-01-31
Benjamin-roct,https://www.youtube.com/@Benjamin-roct,0.6777,0.678,0,1,2.2,527082,BRAIN TIME VT,33700,Couple Spends 2 Years Renovating a 750m² Charentaise House | from beginning to end @Benjamin-roct,débil,2.2,527082,2026-05-09
AsianBushcraftHomie,https://www.youtube.com/@AsianBushcraftHomie,0.6756,0.676,0,7,5.0,35931,KLIFS TECH,71100,He Left Civilization to Build a Floating Self-Sustaining Island. By @AsianBushcraftHomie,media,30.6,35931,2026-07-16
syromyatnikov,https://www.youtube.com/@syromyatnikov,0.6737,0.674,0,1,2.2,1790693,AKLA GELEN,1090000,Man Builds a House ALONE 20 Minutes TIMELAPSE | Start to Finish by @syromyatnikov,débil,2.2,1790693,2026-02-20
WildRoot.Bushcraftz,https://www.youtube.com/@WildRoot.Bushcraftz,0.6734,0.673,0,1,3.1,35482,Wood & Steel Craft,850,Building 5 Hidden Off-Grid Shelters from Scratch | by @WildRoot.Bushcraftz,débil,3.1,35482,2026-07-19
NDWoodArt,https://www.youtube.com/@NDWoodArt,0.6685,0.668,0,5,2.1,108677,Life Rhythm TV,4350,Man Spends 6 Months Building a 2024 Mercedes G-Class From Wood | performed by@NDWoodArt,media,3.0,108677,2026-06-11
Bushgard-x,https://www.youtube.com/@Bushgard-x,0.6685,0.668,0,1,2.7,34789,TTI Build Stories ,1800000,99% of People Couldn't Build This Shelter... He Did It Alone! ( By @Bushgard-x ),débil,2.7,34789,2026-07-14
