creator,url,odds_top,best_strength,confirmations,distributors,best_outlier,best_reach,best_channel,best_channel_subs,best_title,evidence,peak_outlier_any,peak_reach_any,last_seen
VillaAroldi,https://www.youtube.com/@VillaAroldi,0.981,0.947,2,7,202.9,1352344,Smart Fox,85100,You Won’t Believe This Abandoned Italian Villa Transformation | Timelapse by @VillaAroldi,firme,419.6,1838897,2026-06-23
LetsBuildAHouse,https://www.youtube.com/@LetsBuildAHouse,0.9809,0.852,4,23,26.2,353396,99Techspot,100000,Army Couple Builds Dream Home from Scratch | Complete Build Timelapse by @LetsBuildAHouse‬,firme,26.2,1349258,2026-08-05
LifeontheMoose,https://www.youtube.com/@LifeontheMoose,0.9797,0.843,4,12,185.2,321081,COLLAB,12400,Man Builds OFF-GRID CABIN in the Michigan Forest | Start to Finish by @LifeontheMoose,firme,185.2,1189773,2026-08-01
andrewryanpov,https://www.youtube.com/@andrewryanpov,0.9748,0.884,3,10,38.4,518445,99Techspot,100000,"Man Turns a $30,000 Truck Into a Luxury Apartment on Wheels | Start to Finish by ‪@andrewryanpov‬",firme,63.3,4730215,2026-07-25
yudaikawase,https://www.youtube.com/@yudaikawase,0.9745,0.958,1,7,221.7,1602740,KLIFS TECH,71100,He Turns Old Pickup Truck into Camper With Only $2000. By @yudaikawase,firme,221.7,1602740,2026-08-05
luxonbushcraft,https://www.youtube.com/@luxonbushcraft,0.9739,0.879,3,14,11.6,687162,MAKERS HD,3260,Man Transforms a Forgotten 1957 House in the Forest  | Start to Finish@luxonbushcraft,firme,93.2,938062,2026-08-09
woodjunkie_yt,https://www.youtube.com/@woodjunkie_yt,0.9694,0.915,2,7,57.9,782034,99Techspot,100000,Off-Grid Log Cabin Built From Scratch by a Young Couple | Full Timelapse by ‪@woodjunkie_yt‬,firme,57.9,782034,2026-03-27
RRBuildings,https://www.youtube.com/@RRBuildings,0.9689,0.914,2,9,17.8,989867,CabinCraft,6330,From Empty Ground to a Massive Workshop | Start to Finish @RRBuildings @QuantumMakers ,firme,17.8,989867,2026-08-07
WildernessSurvivalMan,https://www.youtube.com/@WildernessSurvivalMan,0.967,0.847,3,5,8.2,1969541,Betelhem Tech,28000,Building a Hobbit-Style Shelter in the Snow — Winter Survival ❄️🏡🔥 | By @WildernessSurvivalMan,firme,8.2,2922624,2026-08-03
DoBeDiff,https://www.youtube.com/@DoBeDiff,0.9658,0.842,3,5,7.7,751556,MrS,19100,"Couple Builds Their Dream Home for Only $5,000 - No Interior Yet: @DoBeDiff",firme,7.7,757699,2026-07-21
