creator,url,status,p_next,why,creator_subs,creator_views_per_video,qm_videos,qm_best_outlier,qm_best_views,qm_best_title,distributors,dist_best_outlier,dist_best_reach,dist_best_channel,confirmations
theturkishviking-bushcraft,https://www.youtube.com/@theturkishviking-bushcraft,sin_explorar,0.41328858091593007,sin explorar — sin canal resuelto,,,0,0,0,,1,1.1,2236,Clean & Restore Tech,0
adventurevibee,https://www.youtube.com/@adventurevibee,sin_explorar,0.4129,sin explorar — predicción del modelo,124000,18400,0,0,0,,1,18.8,141369,Cabin In the Woods,0
alex_wildlife,https://www.youtube.com/@alex_wildlife,sin_explorar,0.4122,sin explorar — predicción del modelo,268000,801772,0,0,0,,2,0.8,1015,SwiftBuild,0
lesnoy_nearthefire998,https://www.youtube.com/@lesnoy_nearthefire998,sin_explorar,0.412,sin explorar — predicción del modelo,249000,630247,0,0,0,,1,38.9,1127,The Maker World,0
AmbitionStrikes,https://www.youtube.com/@AmbitionStrikes,sin_explorar,0.4112,sin explorar — predicción del modelo,1140000,501815,0,0,0,,1,0.6,2011,Namtum Makers,0
LiveDontWatch,https://www.youtube.com/@LiveDontWatch,sin_explorar,0.4109,sin explorar — predicción del modelo,5690,53139,0,0,0,,8,102.3,739601,KLIFS TECH,2
ĐiềnTiểuCaFarm86,https://www.youtube.com/@ĐiềnTiểuCaFarm86,sin_explorar,0.40901109527475565,sin explorar — sin canal resuelto,,,0,0,0,,1,20.8,1686,Hidden Cabin ,0
ben-kilner,https://www.youtube.com/@ben-kilner,sin_explorar,0.4058,sin explorar — predicción del modelo,495000,1043110,0,0,0,,1,0.5,1818,Namtum Makers,0
DennisKoburger,https://www.youtube.com/@DennisKoburger,sin_explorar,0.4054,sin explorar — predicción del modelo,124000,146786,0,0,0,,3,1.4,18149,TTI Build Stories ,0
MoonCamping2005,https://www.youtube.com/@MoonCamping2005,sin_explorar,0.40535558464346616,sin explorar — sin canal resuelto,,,0,0,0,,1,1.0,1269,SwiftBuild,0
TieuLieu-17yearold,https://www.youtube.com/@TieuLieu-17yearold,sin_explorar,0.4049,sin explorar — predicción del modelo,62900,53132,0,0,0,,1,2.5,267361,Innovative Tech World,0
Bushcraft__Karina,https://www.youtube.com/@Bushcraft__Karina,sin_explorar,0.4044,sin explorar — predicción del modelo,160000,327351,0,0,0,,2,1.2,2392,Clean & Restore Tech,0
Martijn,https://www.youtube.com/@Martijn,sin_explorar,0.4017105376492134,sin explorar — sin canal resuelto,,,0,0,0,,1,9.6,937,Renovation Rescue HD,0
SavingSweetWilliam,https://www.youtube.com/@SavingSweetWilliam,sin_explorar,0.40125566104156224,sin explorar — sin canal resuelto,,,0,0,0,,1,0.8,5429,Smart Fox,0
life.uncontained,https://www.youtube.com/@life.uncontained,sin_explorar,0.4008,sin explorar — predicción del modelo,1540000,828452,0,0,0,,1,3.3,64,SUN Channel,0
TheDIYCabinGuy,https://www.youtube.com/@TheDIYCabinGuy,sin_explorar,0.4005,sin explorar — predicción del modelo,32500,105664,0,0,0,,1,10.9,33974,Quantum Builders,0
Bushgard-x,https://www.youtube.com/@Bushgard-x,sin_explorar,0.3996,sin explorar — predicción del modelo,19800,148231,0,0,0,,1,2.7,34789,TTI Build Stories ,0
Bendheim,https://www.youtube.com/@Bendheim,sin_explorar,0.3986812595466835,sin explorar — sin canal resuelto,,,0,0,0,,1,0.8,959,Rebuilding HD,0
VeganAthlete,https://www.youtube.com/@VeganAthlete,sin_explorar,0.3983,sin explorar — predicción del modelo,290000,75878,0,0,0,,2,1.1,266496,BRAIN TIME VT,0
LESNUE,https://www.youtube.com/@LESNUE,sin_explorar,0.3982,sin explorar — predicción del modelo,2650000,1269694,0,0,0,,2,0.9,28,KORIX TECH,0
beccanlevisalaska,https://www.youtube.com/@beccanlevisalaska,sin_explorar,0.3976,sin explorar — predicción del modelo,40300,19414,0,0,0,,7,5.2,510432,MrS,2
Tran-Chien,https://www.youtube.com/@Tran-Chien,sin_explorar,0.3973,sin explorar — predicción del modelo,1490000,1858640,0,0,0,,1,0.4,29,Hidden Cabin ,0
Bushcraft.en.Solitario,https://www.youtube.com/@Bushcraft.en.Solitario,sin_explorar,0.3970184408815655,sin explorar — sin canal resuelto,,,0,0,0,,1,2.7,651,Q Makers,0
WoodworkingProjectsDIY,https://www.youtube.com/@WoodworkingProjectsDIY,sin_explorar,0.3966,sin explorar — predicción del modelo,785000,225345,0,0,0,,2,1.3,658,Vietnamese farmers 88,0
kbuild,https://www.youtube.com/@kbuild,sin_explorar,0.3959,sin explorar — predicción del modelo,66300,11273,0,0,0,,9,5.4,992309,Build Maker,2
loginnature8516,https://www.youtube.com/@loginnature8516,sin_explorar,0.3942,sin explorar — predicción del modelo,16100,39114,0,0,0,,2,5.0,482893,MrS,0
OneFootOfftheGrid,https://www.youtube.com/@OneFootOfftheGrid,sin_explorar,0.3937,sin explorar — predicción del modelo,40800,30233,0,0,0,,3,3.2,591631,Build Maker,1
rosagold,https://www.youtube.com/@rosagold,sin_explorar,0.3928,sin explorar — predicción del modelo,71300,52873,0,0,0,,1,13.6,23514,COLLAB,0
VermijlCarDetail,https://www.youtube.com/@VermijlCarDetail,sin_explorar,0.3917,sin explorar — predicción del modelo,511000,282979,0,0,0,,1,10.7,600,FixNation,0
cabinlife4551,https://www.youtube.com/@cabinlife4551,sin_explorar,0.3914,sin explorar — predicción del modelo,22500,79895,0,0,0,,4,2.4,212751,Maker World,1
Mrhuubushcraft,https://www.youtube.com/@Mrhuubushcraft,sin_explorar,0.3913,sin explorar — predicción del modelo,43800,44744,0,0,0,,4,4.4,44879,Quantum Build Studio,0
dialtommy,https://www.youtube.com/@dialtommy,sin_explorar,0.3907,sin explorar — predicción del modelo,19400,20748,0,0,0,,4,9.2,276811,Lord Gizmo,0
CraftCreative-444,https://www.youtube.com/@CraftCreative-444,sin_explorar,0.39069164705287657,sin explorar — sin canal resuelto,,,0,0,0,,1,0.7,344,Vietnamese farmers 88,0
awesome,https://www.youtube.com/@awesome,sin_explorar,0.3896,sin explorar — predicción del modelo,109000,124354,0,0,0,,1,49.2,4825,Renovation Rescue HD,0
aboulderlifeoffgrid,https://www.youtube.com/@aboulderlifeoffgrid,sin_explorar,0.3884,sin explorar — predicción del modelo,27400,20209,0,0,0,,3,5.0,439091,Maker World,1
anvswild,https://www.youtube.com/@anvswild,sin_explorar,0.3873,sin explorar — predicción del modelo,128000,301351,0,0,0,,3,2.1,1619,DIY UNIQUE CREATIONS,0
old_school_moaboa,https://www.youtube.com/@old_school_moaboa,sin_explorar,0.387,sin explorar — predicción del modelo,32700,14267,0,0,0,,1,31.9,212883,Smart Fox,0
20by8,https://www.youtube.com/@20by8,sin_explorar,0.3851,sin explorar — predicción del modelo,14200,113040,0,0,0,,1,19.7,34223,COLLAB,0
GrumpyToadCreation,https://www.youtube.com/@GrumpyToadCreation,sin_explorar,0.38484945220865197,sin explorar — sin canal resuelto,,,0,0,0,,1,0.5,4084,The Builders World,0
DemasiLogCabin,https://www.youtube.com/@DemasiLogCabin,sin_explorar,0.3837,sin explorar — predicción del modelo,51000,20985,0,0,0,,6,3.0,264041,Maker World,1
SimonFordman,https://www.youtube.com/@SimonFordman,sin_explorar,0.3837,sin explorar — predicción del modelo,541000,1267253,0,0,0,,1,4.6,51,Crafted Hub,0
phungthienthanh8868,https://www.youtube.com/@phungthienthanh8868,sin_explorar,0.3829093175496783,sin explorar — sin canal resuelto,,,0,0,0,,1,2.3,129,FixNation,0
trieuthisenh-o6k,https://www.youtube.com/@trieuthisenh-o6k,sin_explorar,0.3813,sin explorar — predicción del modelo,15200,14233,0,0,0,,1,34.7,350714,Quantum Build Studio,0
mr.deswal6903,https://www.youtube.com/@mr.deswal6903,sin_explorar,0.3809,sin explorar — predicción del modelo,476000,638780,0,0,0,,1,0.3,299882,TechFreeze,0
ShredPile,https://www.youtube.com/@ShredPile,sin_explorar,0.3798,sin explorar — predicción del modelo,26200,30807,0,0,0,,1,2.9,532369,Build Maker,0
PerkinsBuilderBrothers,https://www.youtube.com/@PerkinsBuilderBrothers,sin_explorar,0.3797,sin explorar — predicción del modelo,1170000,412857,0,0,0,,1,3.7,72,SUN Channel,0
One.woman.wilderness,https://www.youtube.com/@One.woman.wilderness,sin_explorar,0.3796,sin explorar — predicción del modelo,229000,203539,0,0,0,,1,0.8,5404,Smart Fox,0
OlikaBushcraft,https://www.youtube.com/@OlikaBushcraft,sin_explorar,0.3784,sin explorar — predicción del modelo,8890,86226,0,0,0,,1,2.4,1547231,TK Maker,0
lythibinh,https://www.youtube.com/@lythibinh,sin_explorar,0.3778,sin explorar — predicción del modelo,110000,149428,0,0,0,,2,1.0,105243,Innovative Tech World,0
ForestHermit,https://www.youtube.com/@ForestHermit,sin_explorar,0.3767,sin explorar — predicción del modelo,72600,161851,0,0,0,,2,1.0,239596,Epic Timeline,0
slothconstruction,https://www.youtube.com/@slothconstruction,sin_explorar,0.3739,sin explorar — predicción del modelo,8510,9990,0,0,0,,16,27.8,647958,WildCraft Builds,5
Renovacile,https://www.youtube.com/@Renovacile,sin_explorar,0.3729,sin explorar — predicción del modelo,84300,143434,0,0,0,,1,1.0,233464,BRAIN TIME VT,0
growinginfrance,https://www.youtube.com/@growinginfrance,sin_explorar,0.3723,sin explorar — predicción del modelo,18300,19173,0,0,0,,5,19.5,129958,Smart Fox,1
MiniHouseDIY,https://www.youtube.com/@MiniHouseDIY,sin_explorar,0.3715,sin explorar — predicción del modelo,590000,3720907,0,0,0,,1,0.0,1092,Maker World,0
AleksandrKvasha,https://www.youtube.com/@AleksandrKvasha,sin_explorar,0.37134858293334794,sin explorar — sin canal resuelto,,,0,0,0,,1,0.3,3746,TTI Build Stories ,0
MARCANDSANDY,https://www.youtube.com/@MARCANDSANDY,sin_explorar,0.3692886537736342,sin explorar — sin canal resuelto,,,0,0,0,,1,0.2,319,Rebuilding HD,0
Gabriel.Leni100,https://www.youtube.com/@Gabriel.Leni100,sin_explorar,0.369,sin explorar — predicción del modelo,14600,14920,0,0,0,,2,4.6,3768088,AKLA GELEN,0
Polissya,https://www.youtube.com/@Polissya,sin_explorar,0.3689947645845561,sin explorar — sin canal resuelto,,,0,0,0,,1,0.4,43,Renovation Rescue HD,0
radicalgastronomy,https://www.youtube.com/@radicalgastronomy,sin_explorar,0.3687,sin explorar — predicción del modelo,25000,18096,0,0,0,,1,12.9,86122,Smart Fox,0
LankHome,https://www.youtube.com/@LankHome,sin_explorar,0.3683,sin explorar — predicción del modelo,23100,13262,0,0,0,,9,18.4,133251,KLIFS TECH,0
syromyatnikov,https://www.youtube.com/@syromyatnikov,sin_explorar,0.3677,sin explorar — predicción del modelo,22600,31558,0,0,0,,1,2.2,1790693,AKLA GELEN,0
desentoca2309,https://www.youtube.com/@desentoca2309,sin_explorar,0.3677,sin explorar — predicción del modelo,25300,13755,0,0,0,,5,8.4,113364,99Techspot,0
thetielife,https://www.youtube.com/@thetielife,sin_explorar,0.3667,sin explorar — predicción del modelo,33700,7555,0,0,0,,1,25.8,172108,Smart Fox,0
SteepintheWoods,https://www.youtube.com/@SteepintheWoods,sin_explorar,0.3657,sin explorar — predicción del modelo,32300,15820,0,0,0,,2,2.6,2570630,Makerium,0
Clean,https://www.youtube.com/@Clean,sin_explorar,0.3644520207032855,sin explorar — sin canal resuelto,,,0,0,0,,1,0.3,33,Renovation Rescue HD,0
alexbushcraftmy,https://www.youtube.com/@alexbushcraftmy,sin_explorar,0.36284581953220835,sin explorar — sin canal resuelto,,,0,0,0,,1,1.0,30,Build Beyond,0
DoyoNosssFishing,https://www.youtube.com/@DoyoNosssFishing,sin_explorar,0.3628,sin explorar — predicción del modelo,15900,16192,0,0,0,,2,245.2,114386,Maexology,0
CarRestorations-USA,https://www.youtube.com/@CarRestorations-USA,sin_explorar,0.361,sin explorar — predicción del modelo,14400,93667,0,0,0,,1,1.6,79741,Life Rhythm TV,0
MattJordanWoodturning,https://www.youtube.com/@MattJordanWoodturning,sin_explorar,0.361,sin explorar — predicción del modelo,1280000,1939574,0,0,0,,1,0.0,2,H2 EcoTech,0
kustorez777,https://www.youtube.com/@kustorez777,sin_explorar,0.3606,sin explorar — predicción del modelo,175000,495016,0,0,0,,2,1.6,154,Renovation Rescue HD,0
Bochi,https://www.youtube.com/@Bochi,sin_explorar,0.3587711631006177,sin explorar — sin canal resuelto,,,0,0,0,,1,0.1,15751,Machine stage,0
DiscoverManufacturing,https://www.youtube.com/@DiscoverManufacturing,sin_explorar,0.3584,sin explorar — predicción del modelo,90200,230236,0,0,0,,1,0.6,659199,TechFreeze,0
Mechanicalskils,https://www.youtube.com/@Mechanicalskils,sin_explorar,0.3581,sin explorar — predicción del modelo,371000,750972,0,0,0,,1,0.8,43,FixNation,0
modustrial,https://www.youtube.com/@modustrial,sin_explorar,0.3578,sin explorar — predicción del modelo,996000,546188,0,0,0,,1,0.6,29,Epic Explore World,0
Ferincishin,https://www.youtube.com/@Ferincishin,sin_explorar,0.3570310628635389,sin explorar — sin canal resuelto,,,0,0,0,,1,1.0,19,Houseline Project,0
TimKatie,https://www.youtube.com/@TimKatie,sin_explorar,0.3563,sin explorar — predicción del modelo,108000,1025610,0,0,0,,1,0.3,1238,Namtum Makers,0
Damarsito,https://www.youtube.com/@Damarsito,sin_explorar,0.356,sin explorar — predicción del modelo,11500,4836,0,0,0,,1,75.9,505835,Smart Fox,0
enancinar,https://www.youtube.com/@enancinar,sin_explorar,0.3549,sin explorar — predicción del modelo,3360,12172,0,0,0,,5,77.2,514723,Smart Fox,1
PetaVillage,https://www.youtube.com/@PetaVillage,sin_explorar,0.3539949657274949,sin explorar — sin canal resuelto,,,0,0,0,,1,15.0,15,ArtisTech,0
AsbjornOlsenBerg,https://www.youtube.com/@AsbjornOlsenBerg,sin_explorar,0.3539949657274949,sin explorar — sin canal resuelto,,,0,0,0,,1,15.0,15,ArtisTech,0
restorationstools6447,https://www.youtube.com/@restorationstools6447,sin_explorar,0.3537,sin explorar — predicción del modelo,268000,287382,0,0,0,,1,2.4,135,FixNation,0
restorationUphone,https://www.youtube.com/@restorationUphone,sin_explorar,0.3536,sin explorar — predicción del modelo,754000,880505,0,0,0,,1,1.6,18,Crafted Hub,0
ATHOSOutdoorProspector,https://www.youtube.com/@ATHOSOutdoorProspector,sin_explorar,0.3532,sin explorar — predicción del modelo,1000000,629885,0,0,0,,1,0.5,20,RV-88,0
European_hometeading,https://www.youtube.com/@European_hometeading,sin_explorar,0.3528414307145771,sin explorar — sin canal resuelto,,,0,0,0,,1,0.1,40,HITECH,0
DeRusterGarage,https://www.youtube.com/@DeRusterGarage,sin_explorar,0.3526,sin explorar — predicción del modelo,266000,584435,0,0,0,,1,1.0,56,FixNation,0
petualangsumatera-ul5ml,https://www.youtube.com/@petualangsumatera-ul5ml,sin_explorar,0.3505,sin explorar — predicción del modelo,42800,235114,0,0,0,,2,2.4,1134,Maexology,0
JanCampLife,https://www.youtube.com/@JanCampLife,sin_explorar,0.35025225491691003,sin explorar — sin canal resuelto,,,0,0,0,,1,0.1,4971,MrS,0
CHUANQIENGINE,https://www.youtube.com/@CHUANQIENGINE,sin_explorar,0.3498,sin explorar — predicción del modelo,106000,390856,0,0,0,,1,2.2,224,Making Process,0
ARIA,https://www.youtube.com/@ARIA,sin_explorar,0.3488176153454232,sin explorar — sin canal resuelto,,,0,0,0,,1,0.0,324,Cabin In the Woods,0
DennisKoburge,https://www.youtube.com/@DennisKoburge,sin_explorar,0.3488176153454232,sin explorar — sin canal resuelto,,,0,0,0,,1,0.0,83,Car Test Channel,0
TAOutdoors,https://www.youtube.com/@TAOutdoors,sin_explorar,0.3484,sin explorar — predicción del modelo,2490000,623888,0,0,0,,1,0.0,13,H2 EcoTech,0
CampfireStories-d3t,https://www.youtube.com/@CampfireStories-d3t,sin_explorar,0.3483877557712467,sin explorar — sin canal resuelto,,,0,0,0,,1,0.2,8,Mr.RESTORIX,0
MeadowlarkLogHomes,https://www.youtube.com/@MeadowlarkLogHomes,sin_explorar,0.3479,sin explorar — predicción del modelo,8080,8704,0,0,0,,4,6.2,547733,Maker World,1
Rehabit8,https://www.youtube.com/@Rehabit8,sin_explorar,0.3477,sin explorar — predicción del modelo,46500,34125,0,0,0,,2,1.2,1229678,TechFreeze,0
annieandthevicarage,https://www.youtube.com/@annieandthevicarage,sin_explorar,0.3468,sin explorar — predicción del modelo,9730,7129,0,0,0,,1,35.9,239626,Smart Fox,0
paktech9707,https://www.youtube.com/@paktech9707,sin_explorar,0.3465,sin explorar — predicción del modelo,177000,298509,0,0,0,,1,0.4,1867,Professional Skills,0
hoangthichien1991ideahouse,https://www.youtube.com/@hoangthichien1991ideahouse,sin_explorar,0.3465,sin explorar — predicción del modelo,86000,96864,0,0,0,,1,1.7,1325,DIY UNIQUE CREATIONS,0
TheRestorer,https://www.youtube.com/@TheRestorer,sin_explorar,0.3463,sin explorar — predicción del modelo,363000,658971,0,0,0,,1,0.6,33,FixNation,0
NATRA2021,https://www.youtube.com/@NATRA2021,sin_explorar,0.3461,sin explorar — predicción del modelo,170000,2841627,0,0,0,,1,0.1,214,Professional Skills,0
WildSoloSurvival,https://www.youtube.com/@WildSoloSurvival,sin_explorar,0.345,sin explorar — predicción del modelo,93600,291347,0,0,0,,1,1.0,313,The Makers HD,0
Restavraciya,https://www.youtube.com/@Restavraciya,sin_explorar,0.3444,sin explorar — predicción del modelo,217000,115255,0,0,0,,2,7.0,395,FixNation,0
Bushradical,https://www.youtube.com/@Bushradical,sin_explorar,0.3431,sin explorar — predicción del modelo,1190000,667826,0,0,0,,1,9.0,9,ArtisTech,0
muhammadali77,https://www.youtube.com/@muhammadali77,sin_explorar,0.3418,sin explorar — predicción del modelo,35000,132897,0,0,0,,1,1.0,2215,Techno Fusion HD,0
mycustomgokart,https://www.youtube.com/@mycustomgokart,sin_explorar,0.3387,sin explorar — predicción del modelo,185000,640404,0,0,0,,1,0.1,135997,TechFreeze,0
MasonDixonAcres,https://www.youtube.com/@MasonDixonAcres,sin_explorar,0.3379,sin explorar — predicción del modelo,124000,61232,0,0,0,,2,0.7,164277,World Build,0
thanhtrieutv6231,https://www.youtube.com/@thanhtrieutv6231,sin_explorar,0.3365,sin explorar — predicción del modelo,876000,1062367,0,0,0,,1,0.0,0,Olivia Hunt,0
my-good-friends,https://www.youtube.com/@my-good-friends,sin_explorar,0.3353,sin explorar — predicción del modelo,27500,204731,0,0,0,,1,0.8,8733,Crafted Foundations,0
TriệuThịDuyên-b8b,https://www.youtube.com/@TriệuThịDuyên-b8b,sin_explorar,0.3325,sin explorar — predicción del modelo,5560,8214,0,0,0,,1,4.9,518934,Innovative Tech World,0
SimpleLifeBushcraft,https://www.youtube.com/@SimpleLifeBushcraft,sin_explorar,0.3308,sin explorar — predicción del modelo,246000,326717,0,0,0,,2,0.2,1489,Cabin In the Woods,0
SmoothGefixt,https://www.youtube.com/@SmoothGefixt,sin_explorar,0.3305,sin explorar — predicción del modelo,266000,182982,0,0,0,,1,2.1,75,BuildRecap TV,0
RuralCraftsmanship,https://www.youtube.com/@RuralCraftsmanship,sin_explorar,0.3291,sin explorar — predicción del modelo,70700,79347,0,0,0,,2,0.8,3359,Crafted Horizon,0
annasgmlindgren,https://www.youtube.com/@annasgmlindgren,sin_explorar,0.329,sin explorar — predicción del modelo,36800,31418,0,0,0,,1,1.0,1047164,TechFreeze,0
RAWConstructionASMR,https://www.youtube.com/@RAWConstructionASMR,sin_explorar,0.329,sin explorar — predicción del modelo,3770,21704,0,0,0,,1,2.8,270148,MrS,0
fazenda13aa,https://www.youtube.com/@fazenda13aa,sin_explorar,0.3288,sin explorar — predicción del modelo,8070,4025,0,0,0,,1,35.5,236963,Smart Fox,0
Diego_Leon,https://www.youtube.com/@Diego_Leon,sin_explorar,0.3279,sin explorar — predicción del modelo,175000,129779,0,0,0,,1,0.4,89147,BRAIN TIME VT,0
Elijah-House,https://www.youtube.com/@Elijah-House,sin_explorar,0.3272,sin explorar — predicción del modelo,6510,34335,0,0,0,,3,3.6,16747,Pro Build Master,0
TraplinesandInlines,https://www.youtube.com/@TraplinesandInlines,sin_explorar,0.3257,sin explorar — predicción del modelo,172000,95348,0,0,0,,1,0.7,231,The Makers HD,0
AloshaLynov,https://www.youtube.com/@AloshaLynov,sin_explorar,0.3252,sin explorar — predicción del modelo,34900,4672,0,0,0,,11,2.7,34912,TTI Build Stories ,2
WildxJournal,https://www.youtube.com/@WildxJournal,sin_explorar,0.3232,sin explorar — predicción del modelo,63900,83345,0,0,0,,1,0.9,718,DIY UNIQUE CREATIONS,0
amazingthingtechnology1595,https://www.youtube.com/@amazingthingtechnology1595,sin_explorar,0.3224,sin explorar — predicción del modelo,376000,949603,0,0,0,,1,0.8,4,Aether Labs Tech,0
seyyarhane,https://www.youtube.com/@seyyarhane,sin_explorar,0.3216,sin explorar — predicción del modelo,553000,317975,0,0,0,,1,0.0,30411,TechFreeze,0
kbmorozov,https://www.youtube.com/@kbmorozov,sin_explorar,0.3209,sin explorar — predicción del modelo,138000,52263,0,0,0,,1,0.5,524614,Makerium,0
alaskacabinadventures,https://www.youtube.com/@alaskacabinadventures,sin_explorar,0.3209,sin explorar — predicción del modelo,435000,501434,0,0,0,,1,1.3,12,Nova Builds HD,0
ThePasturedHomestead,https://www.youtube.com/@ThePasturedHomestead,sin_explorar,0.3204,sin explorar — predicción del modelo,191000,55691,0,0,0,,1,0.5,111939,Makers TV,0
ZoomInProcess,https://www.youtube.com/@ZoomInProcess,sin_explorar,0.3187,sin explorar — predicción del modelo,65700,1406815,0,0,0,,1,0.1,36,The Makers HD,0
AYACAMPING,https://www.youtube.com/@AYACAMPING,sin_explorar,0.3182,sin explorar — predicción del modelo,478000,367474,0,0,0,,1,1.2,14,Project Redline,0
yangsurvival,https://www.youtube.com/@yangsurvival,sin_explorar,0.3175,sin explorar — predicción del modelo,344000,730819,0,0,0,,1,1.4,7,Aether Labs Tech,0
WoodsandWondersCabin,https://www.youtube.com/@WoodsandWondersCabin,sin_explorar,0.3174,sin explorar — predicción del modelo,3690,5959,0,0,0,,12,5.0,279829,CabinCraft,3
Paullivesdifferent,https://www.youtube.com/@Paullivesdifferent,sin_explorar,0.316,sin explorar — predicción del modelo,15200,7410,0,0,0,,4,1.9,1544471,AKLA GELEN,0
theminiarchitect,https://www.youtube.com/@theminiarchitect,sin_explorar,0.3153,sin explorar — predicción del modelo,122000,655701,0,0,0,,1,1.4,23,Quantam Tech HD,0
LetsBuildAHouse,https://www.youtube.com/@LetsBuildAHouse,sin_explorar,0.3148,sin explorar — predicción del modelo,1960,4932,0,0,0,,23,26.2,353396,99Techspot,4
outdoorboy0,https://www.youtube.com/@outdoorboy0,sin_explorar,0.3142,sin explorar — predicción del modelo,19800,148231,0,0,0,,1,0.7,8961,TTI Build Stories ,0
RCPlayGround,https://www.youtube.com/@RCPlayGround,sin_explorar,0.3104,sin explorar — predicción del modelo,387000,57465,0,0,0,,2,4.4,75,Quantam Tech HD,0
electricsupercar,https://www.youtube.com/@electricsupercar,sin_explorar,0.3101,sin explorar — predicción del modelo,182000,37289,0,0,0,,1,0.5,15482,Lord Gizmo,0
LýPhúcNhi,https://www.youtube.com/@LýPhúcNhi,sin_explorar,0.3098,sin explorar — predicción del modelo,25300,52325,0,0,0,,1,0.9,8861,Quantum Build Studio,0
Lesnoy_Duyen,https://www.youtube.com/@Lesnoy_Duyen,sin_explorar,0.3096,sin explorar — predicción del modelo,72700,129208,0,0,0,,1,10.8,141,Creative Workshop DIY HD,0
lifeinruralthailand,https://www.youtube.com/@lifeinruralthailand,sin_explorar,0.3085,sin explorar — predicción del modelo,120000,47549,0,0,0,,1,0.6,3678,Smart Fox,0
Marshallclassic,https://www.youtube.com/@Marshallclassic,sin_explorar,0.3085,sin explorar — predicción del modelo,54900,116881,0,0,0,,3,0.5,3245,Smart Fox,0
RobsCarpentryAndWoodworks,https://www.youtube.com/@RobsCarpentryAndWoodworks,sin_explorar,0.3075,sin explorar — predicción del modelo,12900,147010,0,0,0,,2,0.6,509340,AKLA GELEN,0
JPMansionTours,https://www.youtube.com/@JPMansionTours,sin_explorar,0.3067,sin explorar — predicción del modelo,171000,177313,0,0,0,,1,0.2,2246,TTI Build Stories ,0
TractorsandCream,https://www.youtube.com/@TractorsandCream,sin_explorar,0.3065,sin explorar — predicción del modelo,12400,5362,0,0,0,,1,4.5,30043,Smart Fox,0
European_Homesteading,https://www.youtube.com/@European_Homesteading,sin_explorar,0.3059,sin explorar — predicción del modelo,6810,12488,0,0,0,,3,1.6,1341304,AKLA GELEN,0
gesithasgewissa,https://www.youtube.com/@gesithasgewissa,sin_explorar,0.3058,sin explorar — predicción del modelo,126000,177855,0,0,0,,1,1.0,49,Forge 7,0
StudPack,https://www.youtube.com/@StudPack,sin_explorar,0.3054,sin explorar — predicción del modelo,801000,305372,0,0,0,,1,0.0,0,Endresz Bist,0
RestorationsSkills6886,https://www.youtube.com/@RestorationsSkills6886,sin_explorar,0.3052,sin explorar — predicción del modelo,27600,25875,0,0,0,,4,1.0,4336,Professional Skills,0
TravelersTale,https://www.youtube.com/@TravelersTale,sin_explorar,0.3044,sin explorar — predicción del modelo,234000,330807,0,0,0,,1,0.0,3860,MrS,0
DungBushcraft-dq4cu,https://www.youtube.com/@DungBushcraft-dq4cu,sin_explorar,0.3041,sin explorar — predicción del modelo,108000,74515,0,0,0,,2,0.4,6089,Not Fake: fyp,0
TheLodgeGuys,https://www.youtube.com/@TheLodgeGuys,sin_explorar,0.3037,sin explorar — predicción del modelo,47000,17484,0,0,0,,1,0.9,28623,Lord Gizmo,0
GreasyFingers,https://www.youtube.com/@GreasyFingers,sin_explorar,0.3035,sin explorar — predicción del modelo,30400,35494,0,0,0,,1,0.9,5842,Smart Fox,0
woodysbarndominium,https://www.youtube.com/@woodysbarndominium,sin_explorar,0.3024,sin explorar — predicción del modelo,38200,45525,0,0,0,,1,0.7,59787,Maker World,0
user-Vozrozhdenie,https://www.youtube.com/@user-Vozrozhdenie,sin_explorar,0.302,sin explorar — predicción del modelo,32900,27307,0,0,0,,2,0.8,656603,AKLA GELEN,0
kevcatbuildit9478,https://www.youtube.com/@kevcatbuildit9478,sin_explorar,0.3015,sin explorar — predicción del modelo,5490,9352,0,0,0,,3,2.1,114766,CabinCraft,1
Life-in-Wild1,https://www.youtube.com/@Life-in-Wild1,sin_explorar,0.3006,sin explorar — predicción del modelo,602000,192140,0,0,0,,1,0.6,9,The Builder's Stage,0
thecoyotelab,https://www.youtube.com/@thecoyotelab,sin_explorar,0.2979,sin explorar — predicción del modelo,36800,513683,0,0,0,,1,0.2,509,Quantum Builders,0
AutoFinesseDetailing,https://www.youtube.com/@AutoFinesseDetailing,sin_explorar,0.2968,sin explorar — predicción del modelo,250000,70922,0,0,0,,1,0.8,47,FixNation,0
WildAngelBushcraft,https://www.youtube.com/@WildAngelBushcraft,sin_explorar,0.2964,sin explorar — predicción del modelo,24500,49749,0,0,0,,1,0.7,4957,Smart Fox,0
buildingroots5873,https://www.youtube.com/@buildingroots5873,sin_explorar,0.2958,sin explorar — predicción del modelo,8100,15134,0,0,0,,1,1.3,299426,BRAIN TIME VT,0
jmuller86,https://www.youtube.com/@jmuller86,sin_explorar,0.2935,sin explorar — predicción del modelo,211000,234125,0,0,0,,1,1.0,15,The Builder's Stage,0
skoolievanblog,https://www.youtube.com/@skoolievanblog,sin_explorar,0.2925,sin explorar — predicción del modelo,5310,3359,0,0,0,,2,8.4,60578,KLIFS TECH,0
DağKöyündeHayat,https://www.youtube.com/@DağKöyündeHayat,sin_explorar,0.292,sin explorar — predicción del modelo,49500,151949,0,0,0,,1,0.2,21405,Maker World,0
