creator,url,status,p_next,why,creator_subs,creator_views_per_video,qm_videos,qm_best_outlier,qm_best_views,qm_best_title,distributors,dist_best_outlier,dist_best_reach,dist_best_channel,confirmations
LifeInTheSiberianForest1,https://www.youtube.com/@LifeInTheSiberianForest1,probado_ok,0.58,ya os funcionó — su catálogo es mina,234000,292145,5,7.66,22979250,Two Men Build HUGE CABIN Underground | Start to Finish by @lifeinthesiberianforest1,5,18.3,268967,Not Fake: fyp,1
PLAHOUSE-CONTAINER,https://www.youtube.com/@PLAHOUSE-CONTAINER,probado_ok,0.58,ya os funcionó — su catálogo es mina,163000,74596,1,7.34,22023487,Man Builds Amazing DIY Container Home with Foldable Terrace | Low-Cost Housing @PLAHOUSE-CONTAINER,1,0.7,752840,TechFreeze,0
Dodoan123,https://www.youtube.com/@Dodoan123,probado_ok,0.58,ya os funcionó — su catálogo es mina,14100,141505,3,6.91,20723139,Man Builds Amazing Full-Size HELICOPTER | Start to Finish DIY by @Dodoan123,3,1.0,791,DIY UNIQUE CREATIONS,0
DashingAxe,https://www.youtube.com/@DashingAxe,probado_ok,0.58,ya os funcionó — su catálogo es mina,593000,208139,5,6.8,20408920,Men Build Custom BUGATTI Using 3 Old Cars | Start to Finish by @DashingAxe,5,171.0,218363,Rebuilding HD,0
mr.construction9846,https://www.youtube.com/@mr.construction9846,probado_ok,0.58,ya os funcionó — su catálogo es mina,193000,553611,1,6.67,20008563,Ingenious DIY Hydroelectric Turbine Systems | Free Energy by @mr.construction9846,0,,,,0
SailingMelody,https://www.youtube.com/@SailingMelody,probado_ok,0.58,ya os funcionó — su catálogo es mina,70200,51143,1,6.61,19846267,Family Buys $2500 Old YACHT and Renovates it Back to New | Start to Finish by @SailingMelody,0,,,,0
buildersblueprint,https://www.youtube.com/@buildersblueprint,probado_ok,0.58,ya os funcionó — su catálogo es mina,459000,263886,8,6.4,19217950,Man Fully Transforms His Backyard with DIY | Start to Finish by @buildersblueprint,20,128.1,1671528,TTI Build Stories ,5
RuslaninTheWoods,https://www.youtube.com/@RuslaninTheWoods,probado_ok,0.58,ya os funcionó — su catálogo es mina,58700,274387,4,6.13,18407328,Man Builds HIDDEN LOG CABIN to Survive Wild Animals | by @RuslaninTheWoods,6,1.0,638971,TK Maker,0
Ericlecarreleur,https://www.youtube.com/@Ericlecarreleur,probado_ok,0.58,ya os funcionó — su catálogo es mina,254000,137176,1,6.13,18386342,Man Builds Stunning SWIMMING POOL In His Backyard | Start To Finish By @EricLeCarreleur,3,3.7,2244,HITECH,0
Vasyl54,https://www.youtube.com/@Vasyl54,probado_ok,0.58,ya os funcionó — su catálogo es mina,93000,2916375,1,6.1,18312974,Experts Rescue WW2 Tank From a River | Will a WW2 Tank Run? by @Vasyl54,0,,,,0
osbushcraft,https://www.youtube.com/@osbushcraft,probado_ok,0.58,ya os funcionó — su catálogo es mina,181000,801945,1,6.1,18304748,Survival Expert Builds 4 Amazing Shelters in the Forest | Start to Finish @osbushcraft,1,0.7,71,Hillside Builder,0
RescueRestore,https://www.youtube.com/@RescueRestore,probado_ok,0.58,ya os funcionó — su catálogo es mina,2090000,10045360,1,5.86,17598197,Man Restores 1870s Candy Machine Back To Life | FULL ASMR By @RescueRestore,0,,,,0
RRBuildings,https://www.youtube.com/@RRBuildings,probado_ok,0.58,ya os funcionó — su catálogo es mina,1850000,1096267,1,5.75,17256905,"Two Men Build MASSIVE $750,000 Barndominium in ONLY 1 Year | Start to Finish by  @RRBuildings",9,17.8,989867,CabinCraft,2
guvencsyn,https://www.youtube.com/@guvencsyn,probado_ok,0.58,ya os funcionó — su catálogo es mina,29600,42677,2,5.59,16773325,Man Turns BUS into Amazing MOBILE HOME with Rooftop Terrace | Start to Finish by @guvencsyn,0,,,,0
patricktlee,https://www.youtube.com/@patricktlee,probado_ok,0.58,ya os funcionó — su catálogo es mina,8630,29190,2,5.33,15995929,Man Builds Amazing Swimming Pool in His Backyard | Start to Finish Construction by @patricktlee,1,0.1,77,Rebuilding HD,0
haisupercar,https://www.youtube.com/@haisupercar,probado_ok,0.58,ya os funcionó — su catálogo es mina,74800,20682,3,5.27,15825659,Man Builds Amazing LAMBORGHINI From Scratch in 10 Months | Start to Finish by @haisupercar,5,1.2,4331,Namtum Makers,0
specialideas,https://www.youtube.com/@specialideas,probado_ok,0.58,ya os funcionó — su catálogo es mina,537000,1174154,2,5.2,15609525,Handyman Tips and Hacks That Work Extremely Well | by @specialideas,0,,,,0
Worzalla_Brothers,https://www.youtube.com/@Worzalla_Brothers,probado_ok,0.58,ya os funcionó — su catálogo es mina,284000,524027,1,5.16,15489020,How Two Brothers Turned 100-Year Abandoned SILO Into a Luxury Family Space | @Worzalla_Brothers,16,86.0,7605353,Maker World,1
miracleprocess,https://www.youtube.com/@miracleprocess,probado_ok,0.58,ya os funcionó — su catálogo es mina,320000,627797,1,5.1,15313332,China's Top 5 Manufacturing and Mass Production Videos | by @miracleprocess,0,,,,0
kotascalemodel,https://www.youtube.com/@kotascalemodel,probado_ok,0.58,ya os funcionó — su catálogo es mina,230000,474830,1,4.81,14443651,Man Builds Hyperrealistic Racing MOTORCYCLE at Scale | Yamaha Replica by  @kotascalemodel,0,,,,0
